0.0,1
58.692,29
60.751,28
62.961,27
65.337,26
67.9,25
70.672,24
73.681,23
76.956,22
80.537,21
84.467,20
88.801,19
93.603,18
98.955,17
104.955,16
111.731,15
115.458,29
119.443,14
123.712,27
128.298,13
133.238,25
138.573,12
144.353,23
150.637,11
157.493,21
165.004,10
170.423,29
173.268,19
176.21,28
182.404,9
189.05,26
192.558,17
196.198,25
203.91,8
212.253,23
216.687,15
221.309,22
223.696,29
231.174,7
239.171,27
241.961,20
247.741,13
253.805,19
256.95,25
266.871,6
275.378,29
277.591,23
281.358,17
284.447,28
289.21,11
294.135,27
297.513,16
301.847,21
304.508,26
315.641,5
325.562,29
327.622,24
330.761,19
336.13,14
340.552,23
347.408,9
354.547,22
359.472,13
365.825,17
369.747,21
372.408,25
374.333,29
386.314,4
399.09,27
401.303,23
404.442,19
409.244,15
412.745,26
417.508,11
424.364,18
427.373,25
435.084,7
443.081,24
446.363,17
449.275,27
454.214,10
459.994,23
464.428,13
467.936,29
470.781,16
475.114,19
478.259,22
480.646,25
498.045,3
512.905,29
514.612,26
516.761,23
519.551,20
523.319,17
528.687,14
532.328,25
536.951,11
543.015,19
551.318,8
556.737,29
558.796,21
563.382,13
568.717,18
571.726,23
573.657,28
582.512,5
591.648,27
593.718,22
597.0,17
603.0,12
608.352,19
617.488,7
624.999,23
628.274,16
631.283,25
636.618,9
641.204,29
643.263,20
648.682,11
653.185,24
656.985,13
663.049,15
667.672,17
671.313,19
674.255,21
676.681,23
680.449,27
701.955,2
721.741,29
724.886,25
726.865,23
729.219,21
732.064,19
735.572,17
740.006,15
745.786,13
753.637,11
758.722,20
760.674,29
764.916,9
769.855,25
772.627,16
775.636,23
782.492,7
790.756,19
795.558,12
798.697,29
800.91,17
803.822,22
813.686,5
821.398,28
825.667,18
830.253,13
834.175,21
840.528,8
845.453,27
847.523,19
852.592,11
859.448,14
863.87,17
866.959,20
869.239,23
872.378,29
884.359,3
898.153,25
902.487,19
905.865,16
908.075,29
910.79,13
914.208,23
918.642,10
922.409,27
924.622,17
933.129,7
941.126,18
943.05,29
946.195,11
949.696,26
952.259,15
955.76,19
958.039,23
968.826,4
977.333,29
978.691,25
983.313,17
987.747,13
991.165,22
996.09,9
1003.802,14
1007.442,19
1010.95,29
1017.596,5
1026.732,21
1029.577,16
1031.787,27
1034.996,11
1038.085,28
1040.08,17
1042.507,23
1049.363,6
1055.647,25
1057.627,19
1061.427,13
1066.762,27
1071.702,7
1076.288,29
1080.557,15
1088.269,8
1095.045,17
1097.124,26
1101.045,9
1106.397,19
1108.054,29
1111.199,10
1115.533,21
1119.463,11
1123.044,23
1126.319,12
1129.328,25
1132.1,13
1134.663,27
1137.039,14
1139.249,29
1141.308,15
1145.036,16
1148.318,17
1151.23,18
1156.169,20
1161.949,23
1165.024,25
1166.383,26
1168.806,28
1169.891,29
1200.0,1
